"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\ChatServer.csproj.nuget.g.targets", "XML", 21, 0, 0, 0, 0, 0, 21
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.Console.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.Console.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.Console.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.Main.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.Main.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net6.0\ChatServer.Main.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net8.0\ChatServer.Main.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net8.0\ChatServer.Main.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\Debug\net8.0\ChatServer.Main.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\project.assets.json", "JSON", 0, 0, 3222, 0, 0, 0, 3222
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\ChatServer.Test.csproj", "XML", 12, 0, 0, 0, 0, 4, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\EchoClientHandler.cs", "C#", 0, 29, 0, 0, 0, 7, 36
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\Program.cs", "C#", 0, 49, 0, 0, 0, 10, 59
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\bin\Debug\net8.0\ChatServer.Test.deps.json", "JSON", 0, 0, 614, 0, 0, 0, 614
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\bin\Debug\net8.0\ChatServer.Test.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\ChatServer.Test.csproj.nuget.dgspec.json", "JSON", 0, 0, 266, 0, 0, 0, 266
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\ChatServer.Test.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\ChatServer.Test.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 7
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\Debug\net8.0\ChatServer.Test.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\Debug\net8.0\ChatServer.Test.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\Debug\net8.0\ChatServer.Test.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\project.assets.json", "JSON", 0, 0, 1510, 0, 0, 0, 1510
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Test\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"d:\LanguageLearnig\C#\ChatServer\SocketServer\Application.cs", "C#", 0, 56, 0, 0, 34, 17, 107
